,Id,PK_Asset,FK_Company,FK_LifeCycle,Breakeven Gas Price,Breakeven Oil Price,Development cost pr boe,Longitude,Latitude,FK_OtherParameter
0,14701,32567,10,14,4,31.6,0.855847895,4.570099831,55.81919861,3
1,14702,32568,168,2,,,4.4880476,5.223599911,55.38769913,3
2,14703,32568,10,2,,,4.4880476,5.223599911,55.38769913,3
3,14704,32568,685,2,,,4.4880476,5.223599911,55.38769913,3
4,14705,32570,168,14,3.1,25,2.175896883,4.293900013,56.33399963,3
5,14706,32570,685,14,3.1,25,2.175896883,4.293900013,56.33399963,3
6,14707,32570,10,14,3.1,25,2.175896883,4.293900013,56.33399963,3
7,14708,32572,685,14,3.8,30.6,3.046295166,4.497600079,55.60689926,3
8,14711,32573,168,7,5.5,43.9,21.59584236,4.684899807,55.8443985,75
9,14712,32573,10,7,5.5,43.9,21.59584236,4.684899807,55.8443985,75
10,14715,32574,10,2,,,9.640504837,4.611599922,55.57979965,3
11,14716,32574,685,2,,,9.640504837,4.611599922,55.57979965,3
12,14718,32575,10,7,6.6,52.7,36.8475647,3.754100084,56.20840073,75
13,14722,32580,10,8,7.4,59.6,28.86855888,5.204599857,55.47689819,75
14,14724,32581,168,2,,,1.326949716,4.888100147,55.65589905,3
15,14735,32586,12830,14,0.2,105.8,7.060862064,4.915999889,56.4864006,3
16,14737,32589,685,14,3.6,28.6,0.359719008,5.108699799,55.56200028,3
17,14738,32589,10,14,3.6,28.6,0.359719008,5.108699799,55.56200028,3
18,14744,32596,12830,2,,,,3.96690011,56.2431984,3
19,14750,32603,12830,14,0.2,93.3,19.66200066,5.414999962,56.68209839,3
20,14756,32607,685,24,15.2,121.5,41.87433624,4.293900013,56.33399963,3
21,14761,32610,16,24,,,,4.425000191,56.31330109,3
22,14768,32616,16,24,,,,5.269999981,56.29000092,3
23,14774,32623,685,24,7.7,61.6,30.67720223,4.276400089,55.91109848,3
24,14719,32575,168,7,6.6,52.7,36.8475647,3.754100084,56.20840073,75
25,14742,32593,18340,14,0.2,50.9,26.54563141,4.761700153,56.40660095,3
26,14745,32597,16,9,6.1,49.1,22.53234291,4.410099983,56.13069916,75
27,14755,32606,16,24,,,,5.126699924,55.6949997,3
28,14772,32621,12830,24,29.1,232.7,49.3274765,4.761700153,56.40660095,3
29,14775,32623,18340,24,7.7,61.6,30.67720223,4.276400089,55.91109848,3
30,14776,32624,2770,24,8.7,69.6,32.20667648,4.249899864,56.05279923,3
31,14780,32627,16,24,,,,4.629199982,56.3443985,3
32,14673,32558,685,14,6,47.7,0.506246328,4.661900043,55.76409912,3
33,14675,32558,10,14,6,47.7,0.506246328,4.661900043,55.76409912,3
34,14676,32559,2770,14,5.9,47.1,3.799139261,4.249899864,56.05279923,3
