,Id,Area,Continent,Country,Location,OPEC NON-OPEC,OPEC_OECD_BRIC,Province,Region,US State
0,27304,"Dan Area, DK",Europe,Denmark,"07/95, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
1,27305,"Dan Area, DK",Europe,Denmark,"13/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
2,27308,"Arne South Area, DK",Europe,Denmark,"09/95, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
3,27309,"Siri Area, DK",Europe,Denmark,"15/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
4,27311,"Siri Area, DK",Europe,Denmark,"09/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
5,27312,"Siri Area, DK",Europe,Denmark,"11/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
6,27313,"Siri Area, DK",Europe,Denmark,"04/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
7,27314,"Dan Area, DK",Europe,Denmark,"SouthWest Area (Harald), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
8,27319,"Dan Area, DK",Europe,Denmark,"07/89, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
9,27321,"Dan Area, DK",Europe,Denmark,"08/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
10,27322,"Arne South Area, DK",Europe,Denmark,"16/98 (Cecilie), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
11,27325,"Dan Area, DK",Europe,Denmark,"07/86 (Amalie), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
12,27326,"Siri Area, DK",Europe,Denmark,"05/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
13,27327,"Dan Area, DK",Europe,Denmark,"5603/27-05, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
14,27329,"Dan Area, DK",Europe,Denmark,"SouthWest Area (Lulita), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
