,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
0,51353,32607,3,10,2,10,30,24,24,10,0.134000003,0.286000013,0.07,0.098999999,0.237000004,0.032900002,0.158000007,9.30E-03,9.81E-02,0.186000004,0.128000006
1,51356,32607,3,168,9,168,30,24,24,15,0.0105,0.0251,0.033300001,0.007,0.02,0.0006,0.0128,-1.70E-03,6.90E-03,1.56E-02,9.90E-03
2,51358,32607,111,168,12,168,30,24,24,6,2.099999905,,2.5,,,2.690000057,1.940000057,2.849999905,2.319999933,1.659999967,2.109999895
3,51360,32614,3,168,9,168,30,24,24,15,0.0102,0.024900001,0.0036,0.007,0.02,0.0006,0.0123,-1.20E-03,6.80E-03,0.0151,9.50E-03
4,51361,32614,111,10,2,10,30,24,24,10,-0.109999999,-0.245000005,-0.077100001,-0.080899999,-0.200000003,-0.025599999,-0.128999993,-7.30E-03,-7.90E-02,-0.153999999,-0.104000002
5,51366,32614,3,168,2,168,30,24,24,10,0.093800001,0.209000006,0.065700002,0.068899997,0.170000002,0.0218,0.109999999,6.30E-03,6.73E-02,0.130999997,8.84E-02
6,51370,32614,3,685,9,685,30,24,24,15,0.0056,0.0135,0.0019,0.0038,0.0109,0.0004,0.0067,-6.00E-04,3.70E-03,8.20E-03,5.20E-03
7,51371,32614,3,10,4,10,30,24,24,11,0.388999999,0.579999983,-0.109999999,0.162000001,0.345999986,-0.180999994,0.131999999,-0.26699999,2.30E-03,0.194999993,6.39E-02
8,51390,32621,111,12830,2,12830,30,24,24,10,-0.085699998,-0.173999995,-0.032699998,-0.069399998,-0.152999997,-0.023,-0.088200003,-6.20E-03,-6.93E-02,-0.104000002,-8.09E-02
9,51378,32614,111,10,4,10,30,24,24,11,-0.388999999,-0.579999983,0.109999999,-0.162000001,-0.345999986,0.180999994,-0.131999999,0.26699999,-2.30E-03,-0.194999993,-6.39E-02
