,Id,FK_Asset,Year,FK_Company,FK_OilAndGas,FK_DataQuality,FK_OtherParameter,FK_HistoricCompany,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,Production,Production Forward Case,Production High Case,Production Low Case,Production Mid Case,Production Low Low Case,Production Mid Low Case,Production Low Low Low Case,Production Mid Low Low Case,Production Mid Mid Low Case,Production Mid Mid Low Low Case
0,28626150,89094,2100,9703,11,29,12,9703,30,30,21,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997,0.108999997
1,28383859,109270,2097,9704,10,29,12,9704,26,26,23,0,0,0,0,0,0,0,0,0,0,0
2,28611792,32640,2100,685,9,29,12,685,31,24,20,0,0,0,0,0,0,0,0,0,0,0
3,28611797,32640,2100,2770,9,29,12,2770,31,24,18,0,0,0,0,0,0,0,0,0,0,0
4,28611818,32640,2100,17835,9,29,12,17835,31,24,18,0,0,0,0,0,0,0,0,0,0,0
5,19502428,280717,2054,10,12,29,12,10,1,6,8,,,0.027100001,,,,,,,,
6,19502439,280717,2054,685,12,29,120,685,1,6,8,0,0,,0,,0,0,0,0,0,0
7,19502448,280718,2054,685,12,29,120,685,14,6,8,-0.159999996,-0.159999996,,0,,0,,0,-0.159999996,,-0.159999996
8,18918713,105466,2053,685,9,29,12,685,14,24,18,0,0,0,0,0,0,0,0,0,0,0
9,19475345,238914,2054,685,12,29,12,685,16,24,8,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,7.50E-03,7.50E-03,7.50E-03,7.50E-03
10,19334350,97385,2054,16,4,29,12,16,14,9,11,,,0.038199998,,0.038199998,,,,,,
11,28611809,32640,2100,17824,4,29,12,17824,31,24,11,0,0,0,0,0,0,0,0,0,0,0
12,28611811,32640,2100,17824,9,29,12,17824,31,24,18,0,0,0,0,0,0,0,0,0,0,0
13,28611816,32640,2100,17835,4,29,12,17835,31,24,11,0,0,0,0,0,0,0,0,0,0,0
14,25479735,109270,2075,9704,10,29,12,9704,26,26,23,0,0,0,0,0,0,0,0,0,0,0
15,18918721,105466,2053,12830,9,29,12,12830,14,24,19,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
